UV_1_A, UV_1_B, UV_1_COMP_1, UV_1_COMP_2, UV_1_INDEX, UV_2_A, UV_2_B, UV_2_COMP_1, UV_2_COMP_2, UV_2_INDEX, UV_3_A, UV_3_B, UV_3_COMP_1, UV_3_COMP_2, UV_3_INDEX, UV_4_A, UV_4_B, UV_4_COMP_4, UV_4_COMP_4, UV_4_INDEX, ALTITUDE, TEMP, TIMESTAMP  
UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.63, Temp71.04, timestamp666
 UV_1_A 6.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.75, Temp71.04, timestamp1426
 UV_1_A 6.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.69, Temp71.15, timestamp2186
 UV_1_A 6.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.88, Temp71.15, timestamp2947
 UV_1_A 5.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.94, Temp71.15, timestamp3706
 UV_1_A 6.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.15, timestamp4467
 UV_1_A 6.00,UV_1_B 7.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.94, Temp71.15, timestamp5228
 UV_1_A 2.00,UV_1_B 1.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.15, timestamp5988
 UV_1_A 3.00,UV_1_B 2.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.31, Temp71.15, timestamp6749
 UV_1_A 3.00,UV_1_B 3.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.88, Temp71.15, timestamp7510
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.31, Temp71.15, timestamp8269
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1789.94, Temp71.26, timestamp9030
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 1.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.06, Temp71.26, timestamp9790
 UV_1_A 6.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.26, timestamp10551
 UV_1_A 4.00,UV_1_B 4.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 1.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.26, timestamp294
 UV_1_A 5.00,UV_1_B 4.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.50, Temp71.15, timestamp1054
 UV_1_A 5.00,UV_1_B 6.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 1.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 4.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.38, Temp71.15, timestamp1814
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 1.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.26, timestamp2575
 UV_1_A 5.00,UV_1_B 5.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.01,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 1.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.00, Temp71.26, timestamp3335
 UV_1_A 1.00,UV_1_B 0.00,UV_1_COMP1 0,UV_1_COMP2 0,UV_1_INDEX 0.00,UV_2_A 0.00,UV_2_B 0.00,UV_2_COMP1 0,UV_2_COMP2 0,UV_2_INDEX 0.00,UV_3_A 2.00,UV_3_B 3.00,UV_3_COMP1 0,UV_3_COMP2 0,UV_3_INDEX 0.00,UV_4_A 0.00,UV_4_B 0.00,UV_4_COMP1 0,UV_4_COMP2 0,UV_4_INDEX 0.00,Altitude1790.19, Temp71.26, timestamp4096
