uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
uv_1_a 1,uv_2_b 2,uv_2_comp1 3, uv_2_comp1 4, uv_2_comp1 5, uv_2_comp1 6, uv_2_comp1 7, uv_2_comp1 8, uv_2_comp1 9, uv_2_comp1 10, uv_2_comp1 13,uv_2_comp1 12, uv_2_comp1 ,uv_2_comp1 12
